PX,Main,"Midblock Route","Side 1 Route","Side 2 Route","Activation Date",Latitude,Longitude,"Count Date",8HrVehVol,8HrPedVol
8,"JARVIS ST",,"DUNDAS ST E",,21-Jun-1928,43.657052,-79.374531,2015/04/13,18207,7458
15,"CHURCH ST",,"FRONT ST E","WELLINGTON ST E",24-Apr-1950,43.648513176,-79.373833537,2015/04/20,10467,7381
21,"DUNDAS ST E",,"CHURCH ST",,17-Dec-1952,43.656499,-79.377127,2015/04/13,13764,10302
31,"YONGE ST",,"KING ST",,03-Nov-1927,43.6491624,-79.377904,2015/01/22,13527,33938
36,"YONGE ST",,"DUNDAS ST",,04-Apr-1927,43.656326,-79.380912,2015/04/11,10925,34615
66,"DUNDAS ST W",,"BAY ST",,28-Jun-1928,43.655721,-79.383734,2015/04/13,16598,31918
71,"YORK ST",,"WELLINGTON ST W",,22-Jun-1928,43.6466383,-79.383007,2015/04/18,6498,6101
75,"UNIVERSITY AVE",,"YORK ST","FRONT ST W",14-Jun-1928,43.645291,-79.382476,2015/04/20,15386,19707
76,"UNIVERSITY AVE",,"WELLINGTON ST W",,17-Feb-1932,43.6464054,-79.384076,2015/04/20,18390,18152
77,"UNIVERSITY AVE",,"KING ST W",,15-Feb-1932,43.6476553,-79.384788,2015/01/22,19291,17345
81,"UNIVERSITY AVE",,"DUNDAS ST W",,28-Jun-1928,43.654812,-79.388484,2015/04/11,21879,12603
100,"BATHURST ST",,"EGLINTON AVE W",,01-Jan-1967,43.7009757,-79.425534,2015/04/11,20547,2504
134,"MOUNT PLEASANT RD",,"ST CLAIR AVE E",,23-May-1950,43.690374,-79.383288,2015/06/01,24433,582
156,"KINGSTON RD",,"WARDEN AVE",,31-Jan-1958,43.6877698,-79.270928,2015/05/06,12693,977
162,"KINGSTON RD",,"WOODBINE AVE",,09-Jun-1929,43.67394,-79.307902,2015/04/25,22781,1002
163,"KINGSTON RD",,"DUNDAS ST E","DIXON AVE",03-Mar-1953,43.669951,-79.311169,2015/04/11,8523,823
180,"DUNDAS ST W",,"OSSINGTON AVE",,09-Apr-1929,43.6493419,-79.42078,2015/04/11,11860,7315
181,"DUNDAS ST W",,"LANSDOWNE AVE",,14-Oct-1948,43.6501405,-79.439714,2015/04/11,13572,2756
183,"DUNDAS ST W",,"BROCK AVE",,17-Dec-1952,43.6498834,-79.435598,2015/04/08,10205,2094
185,"JANE ST",,"DUNDAS ST W",,31-Jan-1958,43.665693,-79.491175,2015/04/18,24731,1240
186,"DUNDAS ST W",,"RUNNYMEDE RD",,22-Oct-1948,43.665584,-79.482104,2015/04/18,17291,1249
188,"DUNDAS ST W",,"KEELE ST",,07-Apr-1928,43.6653881,-79.464561,2015/04/18,18937,4698
190,"DUFFERIN ST",,"DUNDAS ST W",,17-Nov-1948,43.6496233,-79.431438,2015/04/11,14442,5244
196,"DUNDAS ST W",,"BATHURST ST",,27-Aug-1953,43.652296,-79.406015,2015/04/11,15414,10194
198,"SIMCOE ST",,"ADELAIDE ST W",,13-May-1960,43.6486354,-79.386558,2015/08/31,7279,6248
201,"KING ST W",,"BATHURST ST",,15-Jun-1928,43.643904,-79.40267,2015/04/11,15742,9020
219,"CHAPLIN CRES",,"ROSELAWN AVE",,01-Jan-1967,43.7056982,-79.423936,2015/06/08,8121,751
248,"DUNDAS ST E",,"PARLIAMENT ST",,07-Apr-1939,43.6594438,-79.365987,2015/04/18,11666,6698
258,"DUNDAS ST E",,"SHERBOURNE ST",,21-Dec-1927,43.6583038,-79.371,2015/04/13,11697,5541
