stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,wheelchair_boarding
382,11936,AVENUE RD AT WILSON AVE SOUTH SIDE,,43.739398,-79.421547,,,,,2
384,134,BATHURST ST AT ELM RIDGE DR,,43.705333,-79.426409,,,,,1
386,143,BATHURST ST AT GLENCAIRN AVE,,43.712236,-79.427984,,,,,1
388,204,BATHURST ST AT ST CLAIR AVE WEST,,43.683305,-79.418429,,,,,1
390,9719,BATHURST ST AT STEELES AVE WEST,,43.792044,-79.445505,,,,,2
394,9122,BAYVIEW AVE AT VALLYANNA DR,,43.724199,-79.379441,,,,,1
395,3325,BELFIELD RD AT BROCKPORT DR WEST SIDE,,43.698939,-79.588827,,,,,1
396,3326,BELFIELD RD AT BROCKPORT DR,,43.698817,-79.588566,,,,,1
397,11091,BERRY RD AT PARK LAWN RD,,43.635922,-79.494082,,,,,1
398,1740,BIRCHMOUNT RD AT FINCH AVE EAST,,43.799188,-79.306203,,,,,1
399,7549,BIRCHMOUNT RD AT HIGHVIEW AVE SOUTH SIDE,,43.699759,-79.265226,,,,,1
400,7550,BIRCHMOUNT RD AT HIGHVIEW AVE,,43.699574,-79.264955,,,,,1
401,9720,BIRCHMOUNT RD AT STEELES AVE SOUTH SIDE,,43.820919,-79.316796,,,,,1
402,10770,BLOOR ST WEST AT CONCORD AVE,,43.661638,-79.426936,,,,,1
403,526,BLOOR ST WEST AT ISLINGTON AVE WEST SIDE,,43.644591,-79.524154,,,,,1
404,11999,BLOOR ST WEST AT ISLINGTON AVE,,43.644836,-79.523125,,,,,1
405,9952,BLOOR ST WEST AT JANE ST,,43.649126,-79.484672,,,,,1
406,11396,1388 BLOOR ST WEST,,43.657635,-79.446236,,,,,1
409,12258,BRENTCLIFFE RD AT VANDERHOOD AVE,,43.712571,-79.358874,,,,,2
411,11925,BROADVIEW AVE AT ERINDALE AVE,,43.677376,-79.358623,,,,,1
412,14314,CHURCH ST AT LOMBARD ST NORTH SIDE,,43.652128,-79.375249,,,,,2
